id,B,G,R,class
66979,201,200,162,2
66980,201,200,162,2
66981,201,200,162,2
66982,201,200,162,2
66983,200,199,161,2
66984,199,198,160,2
66985,199,198,160,2
66986,199,198,160,2
66987,199,198,160,2
66988,199,198,160,2
66989,199,198,160,2
66990,199,198,160,2
66991,198,197,159,2
66992,201,200,162,2
66993,201,200,162,2
66994,201,200,162,2
66995,172,146,129,2
66996,163,137,120,2
66997,166,140,123,2
66998,167,141,124,2
66999,169,143,126,2
67000,168,142,125,2
67001,166,140,123,2
67002,165,139,122,2
67003,166,140,123,2
67004,167,142,122,2
67005,166,139,118,2
67006,166,139,118,2
67007,164,137,116,2
67008,162,135,114,2
67009,162,135,114,2
67010,167,140,119,2
67011,174,147,126,2
67012,180,153,132,2
67013,185,158,137,2
67014,184,157,136,2
67015,183,156,135,2
67016,200,199,161,2
67017,199,198,160,2
67018,199,198,160,2
67019,198,197,159,2
67020,198,197,159,2
67021,198,197,159,2
67022,198,197,159,2
67023,199,198,160,2
67024,198,197,159,2
67025,198,197,159,2
67026,46,73,207,2
67027,53,80,214,2
67028,59,86,220,2
67029,61,88,222,2
67030,57,84,218,2
67031,55,82,216,2
67032,54,81,215,2
67033,56,83,217,2
67034,59,86,220,2
67035,60,87,221,2
67036,60,87,221,2
67037,58,85,219,2
67038,50,77,211,2
67039,54,81,215,2
67040,196,196,160,2
67041,196,195,161,2
67042,196,195,161,2
67043,196,195,161,2
67044,196,196,160,2
67045,196,196,160,2
67046,196,196,160,2
67047,196,197,158,2
67048,203,204,165,2
67049,191,192,153,2
67050,194,195,156,2
67051,205,206,167,2
67052,179,180,141,2
67053,69,70,30,2
67054,53,54,14,2
67055,56,57,17,2
67056,57,56,18,2
67057,59,58,20,2
67058,61,60,22,2
67059,62,61,23,2
67060,62,61,23,2
67061,62,62,22,2
67062,62,62,22,2
67063,63,64,22,2
67064,232,188,151,2
67065,232,188,151,2
67066,233,189,152,2
67067,232,188,151,2
67068,232,188,151,2
67069,69,71,25,2
67070,71,72,28,2
67071,71,73,27,2
67072,83,84,34,2
67073,89,90,40,2
67074,90,91,41,2
67075,92,93,43,2
67076,96,96,48,2
67077,89,89,41,2
67078,79,79,31,2
67079,76,76,28,2
67080,74,76,30,2
67081,74,76,30,2
67082,75,77,31,2
67083,76,78,32,2
67084,77,78,34,2
67085,78,79,35,2
67086,78,79,35,2
67087,79,80,36,2
67088,82,82,36,2
67089,83,83,37,2
67090,83,83,37,2
67091,84,84,38,2
67092,83,86,37,2
67093,84,87,38,2
67094,84,87,38,2
67095,84,87,38,2
67096,84,86,40,2
67097,72,73,29,2
67098,61,63,21,2
67099,60,62,20,2
67100,61,62,23,2
67101,60,61,22,2
67102,60,60,24,2
67103,62,63,24,2
67104,62,61,23,2
67105,62,62,22,2
67106,62,62,22,2
67107,62,62,22,2
67108,62,62,22,2
67109,62,62,22,2
67110,62,62,22,2
67111,62,62,22,2
67112,62,62,22,2
67113,62,62,22,2
67114,62,62,22,2
67115,62,62,22,2
67116,62,62,22,2
67117,61,61,21,2
67118,60,60,20,2
67119,59,59,19,2
67120,60,61,19,2
67121,60,61,19,2
67122,60,61,19,2
67123,60,61,19,2
67124,61,62,20,2
67125,61,62,20,2
67126,61,62,20,2
67127,61,62,20,2
67128,61,62,20,2
67129,61,62,20,2
67130,61,62,20,2
67131,62,63,21,2
67132,63,64,22,2
67133,63,64,22,2
67134,62,63,21,2
67135,60,61,19,2
67136,54,55,15,2
67137,53,54,14,2
67138,51,52,12,2
67139,50,51,11,2
67140,51,52,12,2
67141,52,53,13,2
67142,53,54,14,2
67143,53,54,14,2
67144,50,51,11,2
67145,51,52,12,2
67146,52,53,13,2
67147,52,53,13,2
67148,51,52,12,2
67149,52,53,13,2
67150,56,57,17,2
67151,59,61,19,2
67152,69,70,26,2
67153,70,72,26,2
67154,72,74,28,2
67155,71,73,27,2
67156,69,71,25,2
67157,68,70,24,2
67158,68,70,24,2
67159,68,70,24,2
67160,67,69,23,2
67161,67,69,23,2
67162,67,69,23,2
67163,66,68,22,2
67164,66,68,22,2
67165,66,68,22,2
67166,66,68,22,2
67167,66,68,22,2
67168,65,66,22,2
67169,65,66,22,2
67170,65,66,22,2
67171,65,66,22,2
67172,64,65,21,2
67173,64,65,21,2
67174,64,65,21,2
67175,64,65,21,2
67176,63,64,20,2
67177,62,63,19,2
67178,62,63,19,2
67179,62,63,19,2
67180,62,63,19,2
67181,62,63,19,2
67182,62,63,19,2
67183,60,63,18,2
67184,61,63,21,2
67185,61,65,24,2
67186,55,58,19,2
67187,41,43,7,2
67188,34,35,1,2
67189,36,37,5,2
67190,37,36,8,2
67191,34,33,5,2
67192,36,35,9,2
67193,36,34,10,2
67194,37,36,10,2
67195,37,36,10,2
67196,37,36,8,2
67197,37,36,8,2
67198,38,38,8,2
67199,38,37,9,2
67200,36,36,12,2
67201,34,33,12,2
67202,30,29,9,2
67203,23,21,3,2
67204,15,15,0,2
67205,13,13,0,2
67206,14,13,0,2
67207,16,14,3,2
67208,15,13,2,2
67209,15,13,3,2
67210,15,13,3,2
67211,15,13,3,2
67212,14,14,2,2
67213,14,14,2,2
67214,14,14,2,2
67215,14,14,0,2
67216,19,16,1,2
67217,19,16,1,2
67218,19,16,1,2
67219,19,16,1,2
67220,19,16,1,2
67221,20,17,2,2
67222,20,17,2,2
67223,20,17,2,2
67224,20,17,2,2
67225,20,17,2,2
67226,20,17,2,2
67227,20,17,2,2
67228,20,17,2,2
67229,20,17,2,2
67230,20,17,2,2
67231,20,17,2,2
67232,20,17,2,2
67233,20,17,2,2
67234,20,18,0,2
67235,20,18,0,2
67236,20,18,0,2
67237,20,18,0,2
67238,20,19,0,2
67239,20,19,0,2
67240,20,18,0,2
67241,20,18,0,2
67242,20,17,2,2
67243,20,17,2,2
67244,20,17,3,2
67245,20,16,5,2
67246,20,15,6,2
67247,20,17,3,2
67248,24,18,0,2
67249,26,22,0,2
67250,46,42,14,2
67251,59,55,26,2
67252,57,55,21,2
67253,58,57,19,2
67254,64,62,21,2
67255,58,57,13,2
67256,61,61,15,2
67257,60,60,14,2
67258,62,59,15,2
67259,61,57,16,2
67260,63,56,17,2
67261,63,55,18,2
67262,63,54,20,2
67263,62,56,19,2
67264,61,56,17,2
67265,59,57,16,2
67266,59,58,14,2
67267,58,57,13,2
67268,59,59,13,2
67269,63,63,17,2
67270,72,70,22,2
67271,77,76,26,2
67272,81,77,28,2
67273,84,81,30,2
67274,75,73,19,2
67275,96,94,40,2
67276,132,129,74,2
67277,142,139,84,2
67278,145,143,85,2
67279,140,138,80,2
67280,142,141,83,2
67281,143,142,84,2
67282,143,142,84,2
67283,144,143,85,2
67284,145,144,86,2
67285,146,145,87,2
67286,147,146,90,2
67287,148,147,91,2
67288,153,152,96,2
67289,202,106,136,2
67290,186,91,118,2
67291,218,124,149,2
67292,224,130,155,2
67293,171,77,102,2
67294,209,115,140,2
67295,216,122,147,2
67296,183,89,114,2
67297,200,104,128,2
67298,227,127,149,2
67299,187,86,107,2
67300,187,85,103,2
67301,242,136,149,2
67302,220,110,112,2
67303,217,101,94,2
67304,240,121,106,2
67305,253,133,111,2
67306,237,114,82,2
67307,235,111,71,2
67308,247,123,82,2
67309,244,121,77,2
67310,255,139,97,2
67311,248,129,90,2
67312,242,122,86,2
67313,228,108,73,2
67314,255,140,106,2
67315,243,117,83,2
67316,247,116,83,2
67317,255,128,90,2
67318,241,120,76,2
67319,237,119,72,2
67320,246,127,82,2
67321,255,139,97,2
67322,252,129,91,2
67323,232,109,75,2
67324,231,108,80,2
67325,243,123,101,2
67326,220,105,90,2
67327,172,168,119,2
67328,171,169,121,2
67329,172,170,122,2
67330,173,171,123,2
67331,177,175,127,2
67332,181,179,131,2
67333,184,182,134,2
67334,184,182,134,2
67335,183,181,133,2
67336,182,180,132,2
67337,182,180,132,2
67338,182,180,132,2
67339,182,180,132,2
67340,182,180,132,2
67341,182,180,132,2
67342,182,180,132,2
67343,182,180,132,2
67344,179,179,131,2
67345,179,179,131,2
67346,179,179,131,2
67347,179,179,131,2
67348,179,179,131,2
67349,179,179,131,2
67350,179,179,131,2
67351,179,179,131,2
67352,79,55,215,2
67353,79,55,215,2
67354,79,55,215,2
67355,78,54,214,2
67356,79,53,213,2
67357,81,53,213,2
67358,82,54,214,2
67359,88,55,216,2
67360,88,56,215,2
67361,87,53,213,2
67362,85,52,210,2
67363,85,52,210,2
67364,85,54,211,2
67365,84,53,208,2
67366,83,52,205,2
67367,82,51,202,2
67368,80,49,200,2
67369,80,49,200,2
67370,81,51,200,2
67371,81,51,200,2
67372,79,49,198,2
67373,78,48,197,2
67374,80,50,199,2
67375,79,49,198,2
67376,79,50,199,2
67377,82,53,202,2
67378,82,53,203,2
67379,80,51,201,2
67380,78,50,203,2
67381,81,53,206,2
67382,80,49,204,2
67383,182,179,134,2
67384,50,20,215,2
67385,52,22,219,2
67386,50,20,217,2
67387,46,15,214,2
67388,46,15,214,2
67389,46,13,217,2
67390,46,13,217,2
67391,55,19,225,2
67392,50,14,220,2
67393,51,15,223,2
67394,57,21,229,2
67395,59,22,232,2
67396,56,19,229,2
67397,55,18,228,2
67398,60,23,233,2
67399,64,29,239,2
67400,61,26,237,2
67401,61,23,237,2
67402,62,24,238,2
67403,65,25,244,2
67404,68,26,245,2
67405,68,25,246,2
67406,68,24,245,2
67407,70,26,247,2
67408,71,27,248,2
67409,73,27,247,2
67410,73,28,245,2
67411,76,32,247,2
67412,81,38,249,2
67413,83,40,251,2
67414,83,40,251,2
67415,81,40,252,2
67416,81,40,252,2
67417,81,42,252,2
67418,82,43,252,2
67419,82,46,254,2
67420,83,47,253,2
67421,81,48,252,2
67422,78,48,251,2
67423,82,52,255,2
67424,78,48,255,2
67425,69,40,249,2
67426,59,32,242,2
67427,173,172,122,2
67428,173,172,122,2
67429,173,172,122,2
67430,173,172,122,2
67431,173,172,122,2
67432,17,8,188,2
67433,16,7,187,2
67434,15,6,186,2
67435,15,6,186,2
67436,15,6,186,2
67437,15,6,187,2
67438,15,6,187,2
67439,18,9,190,2
67440,18,9,190,2
67441,19,10,191,2
67442,19,10,191,2
67443,19,9,193,2
67444,19,9,193,2
67445,19,9,193,2
67446,19,9,193,2
67447,19,10,191,2
67448,18,9,190,2
67449,17,8,189,2
67450,17,8,189,2
67451,16,7,188,2
67452,16,7,188,2
67453,16,7,188,2
67454,16,7,188,2
67455,16,7,188,2
67456,16,7,188,2
67457,16,7,188,2
67458,16,7,188,2
67459,16,7,188,2
67460,17,8,189,2
67461,17,8,189,2
67462,17,8,189,2
67463,12,5,186,2
67464,13,6,187,2
67465,14,8,187,2
67466,16,10,189,2
67467,171,170,120,2
67468,171,170,120,2
67469,171,170,120,2
67470,171,170,120,2
67471,171,170,120,2
67472,171,170,120,2
67473,171,170,120,2
67474,171,170,120,2
67475,171,170,120,2
67476,171,170,120,2
67477,171,170,120,2
67478,171,170,120,2
67479,171,170,120,2
67480,171,170,120,2
67481,171,170,120,2
67482,170,169,119,2
67483,168,167,117,2
67484,165,164,114,2
67485,164,163,113,2
67486,164,163,113,2
67487,165,164,114,2
67488,165,164,114,2
67489,165,164,114,2
67490,165,164,114,2
67491,165,164,114,2
67492,165,164,114,2
67493,165,164,114,2
67494,165,164,114,2
67495,165,164,114,2
67496,165,164,114,2
67497,165,164,114,2
67498,165,164,114,2
67499,165,164,114,2
67500,165,164,114,2
67501,165,164,114,2
67502,165,164,114,2
67503,165,164,114,2
67504,165,164,114,2
67505,165,164,114,2
67506,165,164,114,2
67507,165,164,114,2
67508,165,164,114,2
67509,165,164,114,2
67510,165,164,114,2
67511,165,164,114,2
67512,165,164,114,2
67513,165,164,114,2
67514,165,164,114,2
67515,165,164,114,2
67516,165,164,114,2
67517,164,163,113,2
67518,164,163,113,2
67519,255,255,255,2
67520,202,201,163,2
67521,202,201,163,2
67522,201,200,162,2
67523,201,200,162,2
67524,201,200,162,2
67525,201,200,162,2
67526,201,200,162,2
67527,201,200,162,2
67528,201,200,162,2
67529,201,200,162,2
67530,201,200,162,2
67531,201,200,162,2
67532,201,200,162,2
67533,201,200,162,2
67534,201,200,162,2
67535,202,201,163,2
67536,202,201,163,2
67537,202,201,163,2
67538,202,201,163,2
67539,201,200,162,2
67540,201,200,162,2
67541,201,200,162,2
67542,201,200,162,2
67543,200,199,161,2
67544,200,199,161,2
67545,200,199,161,2
67546,200,199,161,2
67547,200,199,161,2
67548,199,198,160,2
67549,199,198,160,2
67550,199,198,160,2
67551,201,200,162,2
67552,201,200,162,2
67553,201,200,162,2
67554,195,168,148,2
67555,189,162,142,2
67556,177,150,130,2
67557,183,156,136,2
67558,189,162,142,2
67559,188,161,141,2
67560,181,154,134,2
67561,174,147,127,2
67562,170,143,123,2
67563,170,143,123,2
67564,167,140,119,2
67565,169,142,121,2
67566,170,143,122,2
67567,170,143,122,2
67568,171,144,123,2
67569,175,148,127,2
67570,183,156,135,2
67571,189,162,141,2
67572,199,172,151,2
67573,199,172,151,2
67574,201,174,153,2
67575,200,199,161,2
67576,200,199,161,2
67577,199,198,160,2
67578,198,197,159,2
67579,198,197,159,2
67580,198,197,159,2
67581,199,198,160,2
67582,199,198,160,2
67583,198,197,159,2
67584,198,197,159,2
67585,55,82,216,2
67586,55,82,216,2
67587,56,83,217,2
67588,58,85,219,2
67589,58,85,219,2
67590,58,85,219,2
67591,57,84,218,2
67592,56,83,217,2
67593,55,82,216,2
67594,54,81,215,2
67595,53,80,214,2
67596,53,80,214,2
67597,55,82,216,2
67598,56,83,217,2
67599,196,196,160,2
67600,196,196,160,2
67601,196,196,160,2
67602,196,196,160,2
67603,196,196,160,2
67604,196,196,160,2
67605,196,197,158,2
67606,196,197,158,2
67607,194,195,156,2
67608,207,208,168,2
67609,190,191,151,2
67610,191,192,152,2
67611,104,105,65,2
67612,53,55,13,2
67613,52,54,12,2
67614,60,62,20,2
67615,59,59,19,2
67616,62,60,20,2
67617,62,60,20,2
67618,60,58,18,2
67619,59,57,17,2
67620,59,57,16,2
67621,60,58,17,2
67622,62,61,17,2
67623,232,188,151,2
67624,231,187,150,2
67625,232,188,151,2
67626,232,188,151,2
67627,231,187,150,2
67628,86,86,38,2
67629,91,91,45,2
67630,93,93,45,2
67631,97,98,48,2
67632,101,103,51,2
67633,101,102,52,2
67634,102,103,53,2
67635,103,104,54,2
67636,94,95,45,2
67637,79,79,31,2
67638,73,73,25,2
67639,74,77,28,2
67640,74,77,28,2
67641,75,77,31,2
67642,76,78,32,2
67643,77,78,34,2
67644,78,79,35,2
67645,79,80,36,2
67646,79,80,36,2
67647,83,83,37,2
67648,83,83,37,2
67649,83,83,35,2
67650,84,84,36,2
67651,83,86,37,2
67652,84,87,38,2
67653,84,86,40,2
67654,85,87,41,2
67655,79,80,36,2
67656,68,69,25,2
67657,59,61,19,2
67658,60,62,20,2
67659,61,62,23,2
67660,59,60,21,2
67661,59,59,23,2
67662,63,64,25,2
67663,62,61,23,2
67664,62,62,22,2
67665,62,62,22,2
67666,62,62,22,2
67667,62,62,22,2
67668,62,62,22,2
67669,62,62,22,2
67670,62,62,22,2
67671,62,62,22,2
67672,62,62,22,2
67673,62,62,22,2
67674,62,62,22,2
67675,61,61,21,2
67676,60,60,20,2
67677,59,59,19,2
67678,59,59,19,2
67679,60,61,19,2
67680,60,61,19,2
67681,60,61,19,2
67682,61,62,20,2
67683,61,62,20,2
67684,61,62,20,2
67685,61,62,20,2
67686,61,62,20,2
67687,62,63,21,2
67688,61,62,20,2
67689,61,62,20,2
67690,62,63,21,2
67691,63,64,22,2
67692,63,64,22,2
67693,63,64,22,2
67694,62,63,21,2
67695,56,57,17,2
67696,54,55,15,2
67697,51,52,12,2
67698,50,51,11,2
67699,51,52,12,2
67700,52,53,13,2
67701,52,53,13,2
67702,52,53,13,2
67703,51,52,12,2
67704,51,52,12,2
67705,51,52,12,2
67706,51,52,12,2
67707,52,53,13,2
67708,56,57,17,2
67709,62,63,23,2
67710,66,68,26,2
67711,70,71,27,2
67712,71,73,27,2
67713,71,73,27,2
67714,70,72,26,2
67715,69,71,25,2
67716,68,70,24,2
67717,68,70,24,2
67718,69,71,25,2
67719,67,69,23,2
67720,67,69,23,2
67721,67,69,23,2
67722,66,68,22,2
67723,66,68,22,2
67724,66,68,22,2
67725,66,68,22,2
67726,66,68,22,2
67727,65,66,22,2
67728,65,66,22,2
67729,65,66,22,2
67730,64,65,21,2
67731,64,65,21,2
67732,64,65,21,2
67733,64,65,21,2
67734,64,65,21,2
67735,62,63,19,2
67736,62,63,19,2
67737,62,63,19,2
67738,62,63,19,2
67739,62,63,19,2
67740,61,62,18,2
67741,61,62,18,2
67742,60,63,18,2
67743,61,63,21,2
67744,59,63,22,2
67745,51,54,15,2
67746,37,39,3,2
67747,32,33,0,2
67748,36,37,5,2
67749,37,36,8,2
67750,33,32,4,2
67751,37,36,10,2
67752,37,36,10,2
67753,37,36,10,2
67754,37,36,10,2
67755,37,36,8,2
67756,37,36,8,2
67757,37,37,7,2
67758,37,36,8,2
67759,33,34,8,2
67760,34,33,12,2
67761,32,31,10,2
67762,28,27,7,2
67763,23,21,3,2
67764,18,15,0,2
67765,14,14,0,2
67766,15,14,0,2
67767,16,14,3,2
67768,16,14,3,2
67769,16,14,3,2
67770,16,14,3,2
67771,16,14,4,2
67772,16,14,3,2
67773,15,15,3,2
67774,15,15,1,2
67775,19,16,1,2
67776,19,16,1,2
67777,19,16,1,2
67778,19,16,1,2
67779,20,17,2,2
67780,20,17,2,2
67781,20,17,2,2
67782,20,17,2,2
67783,20,17,2,2
67784,20,17,2,2
67785,20,17,2,2
67786,20,17,2,2
67787,20,17,2,2
67788,20,17,2,2
67789,20,17,2,2
67790,20,17,2,2
67791,20,17,2,2
67792,20,17,2,2
67793,20,17,2,2
67794,20,17,2,2
67795,20,18,0,2
67796,20,18,0,2
67797,20,18,0,2
67798,20,18,0,2
67799,20,18,0,2
67800,20,18,0,2
67801,20,17,2,2
67802,20,17,2,2
67803,20,17,3,2
67804,20,17,3,2
67805,20,16,5,2
67806,20,17,2,2
67807,24,19,0,2
67808,31,28,0,2
67809,52,48,19,2
67810,62,59,28,2
67811,56,54,19,2
67812,57,57,17,2
67813,64,62,21,2
67814,58,57,13,2
67815,60,60,14,2
67816,60,60,14,2
67817,61,58,14,2
67818,61,57,16,2
67819,63,56,17,2
67820,63,55,18,2
67821,63,54,20,2
67822,61,55,18,2
67823,60,56,15,2
67824,58,57,13,2
67825,59,58,14,2
67826,59,58,14,2
67827,61,61,15,2
67828,66,66,20,2
67829,74,72,24,2
67830,79,78,28,2
67831,78,74,25,2
67832,79,76,25,2
67833,79,77,23,2
67834,79,77,23,2
67835,114,111,56,2
67836,146,143,88,2
67837,141,139,81,2
67838,140,138,80,2
67839,146,145,87,2
67840,146,145,87,2
67841,147,146,88,2
67842,148,147,89,2
67843,149,148,90,2
67844,150,149,91,2
67845,150,149,93,2
67846,151,150,94,2
67847,155,154,98,2
67848,206,106,134,2
67849,210,111,137,2
67850,201,102,128,2
67851,202,101,126,2
67852,208,108,130,2
67853,209,108,130,2
67854,204,103,124,2
67855,214,113,134,2
67856,232,130,148,2
67857,207,105,123,2
67858,203,101,119,2
67859,225,123,140,2
67860,206,101,112,2
67861,216,103,107,2
67862,246,129,122,2
67863,237,115,99,2
67864,231,108,82,2
67865,253,128,90,2
67866,238,113,68,2
67867,225,102,52,2
67868,255,137,87,2
67869,252,134,87,2
67870,250,134,93,2
67871,242,127,90,2
67872,226,110,77,2
67873,246,124,94,2
67874,252,126,97,2
67875,255,129,101,2
67876,255,128,95,2
67877,248,126,86,2
67878,240,120,78,2
67879,245,123,83,2
67880,255,136,96,2
67881,255,132,94,2
67882,241,118,84,2
67883,241,116,88,2
67884,250,128,106,2
67885,228,106,92,2
67886,171,167,118,2
67887,169,167,119,2
67888,171,169,121,2
67889,174,172,124,2
67890,178,176,128,2
67891,181,179,131,2
67892,183,181,133,2
67893,182,180,132,2
67894,182,180,132,2
67895,182,180,132,2
67896,182,180,132,2
67897,182,180,132,2
67898,182,180,132,2
67899,182,180,132,2
67900,182,180,132,2
67901,182,180,132,2
67902,182,180,132,2
67903,179,179,131,2
67904,179,179,131,2
67905,179,179,131,2
67906,179,179,131,2
67907,179,179,131,2
67908,179,179,131,2
67909,179,179,131,2
67910,179,179,131,2
67911,80,54,214,2
67912,81,55,215,2
67913,79,55,215,2
67914,78,54,214,2
67915,79,53,213,2
67916,81,53,213,2
67917,81,53,213,2
67918,85,52,213,2
67919,85,54,211,2
67920,85,52,210,2
67921,85,53,208,2
67922,86,54,209,2
67923,85,55,208,2
67924,84,54,207,2
67925,81,50,201,2
67926,79,48,199,2
67927,78,48,197,2
67928,78,48,197,2
67929,80,50,199,2
67930,80,50,199,2
67931,79,50,197,2
67932,78,49,196,2
67933,80,50,199,2
67934,81,51,200,2
67935,82,51,202,2
67936,84,53,204,2
67937,82,52,205,2
67938,81,51,204,2
67939,82,52,205,2
67940,83,53,206,2
67941,80,52,206,2
67942,182,179,134,2
67943,52,22,217,2
67944,52,22,219,2
67945,48,18,215,2
67946,44,13,212,2
67947,43,12,211,2
67948,44,12,213,2
67949,43,10,214,2
67950,56,20,226,2
67951,51,15,221,2
67952,52,16,224,2
67953,58,22,230,2
67954,58,21,231,2
67955,54,17,227,2
67956,54,17,227,2
67957,59,22,232,2
67958,61,26,236,2
67959,59,24,234,2
67960,59,21,233,2
67961,60,22,236,2
67962,63,24,240,2
67963,65,25,244,2
67964,66,23,244,2
67965,64,21,242,2
67966,71,28,249,2
67967,67,23,244,2
67968,69,25,246,2
67969,77,33,253,2
67970,80,36,251,2
67971,75,31,244,2
67972,76,32,245,2
67973,83,39,252,2
67974,81,40,252,2
67975,80,39,251,2
67976,79,40,250,2
67977,82,43,252,2
67978,85,46,255,2
67979,84,48,254,2
67980,80,47,251,2
67981,77,44,248,2
67982,88,57,255,2
67983,76,46,251,2
67984,64,34,241,2
67985,56,27,236,2
67986,173,172,122,2
67987,173,172,122,2
67988,173,172,122,2
67989,173,172,122,2
67990,173,172,122,2
67991,17,8,188,2
67992,15,6,186,2
67993,14,5,185,2
67994,14,5,185,2
67995,14,5,185,2
67996,15,6,186,2
67997,16,7,187,2
67998,18,9,190,2
67999,18,9,190,2
68000,19,10,191,2
68001,19,10,191,2
68002,19,10,191,2
68003,18,9,190,2
68004,18,9,190,2
68005,17,8,189,2
68006,17,8,189,2
68007,17,8,189,2
68008,17,8,189,2
68009,17,8,189,2
68010,17,8,189,2
68011,17,8,189,2
68012,16,7,188,2
68013,16,7,188,2
68014,16,7,188,2
68015,16,7,188,2
68016,16,7,188,2
68017,16,7,188,2
68018,16,7,188,2
68019,17,8,189,2
68020,17,8,189,2
68021,17,8,189,2
68022,13,6,187,2
68023,13,6,187,2
68024,14,8,187,2
68025,15,9,188,2
68026,171,170,120,2
68027,171,170,120,2
68028,171,170,120,2
68029,171,170,120,2
68030,171,170,120,2
68031,171,170,120,2
68032,171,170,120,2
68033,171,170,120,2
68034,171,170,120,2
68035,171,170,120,2
68036,171,170,120,2
68037,171,170,120,2
68038,171,170,120,2
68039,171,170,120,2
68040,171,170,120,2
68041,170,169,119,2
68042,168,167,117,2
68043,165,164,114,2
68044,164,163,113,2
68045,164,163,113,2
68046,165,164,114,2
68047,165,164,114,2
68048,165,164,114,2
68049,165,164,114,2
68050,165,164,114,2
68051,165,164,114,2
68052,165,164,114,2
68053,165,164,114,2
68054,165,164,114,2
68055,165,164,114,2
68056,165,164,114,2
68057,165,164,114,2
68058,165,164,114,2
68059,165,164,114,2
68060,165,164,114,2
68061,165,164,114,2
68062,165,164,114,2
68063,165,164,114,2
68064,165,164,114,2
68065,165,164,114,2
68066,165,164,114,2
68067,165,164,114,2
68068,165,164,114,2
68069,165,164,114,2
68070,165,164,114,2
68071,165,164,114,2
68072,165,164,114,2
68073,165,164,114,2
68074,165,164,114,2
68075,165,164,114,2
68076,164,163,113,2
68077,164,163,113,2
68078,255,255,255,2
68079,202,201,163,2
68080,202,201,163,2
68081,201,200,162,2
68082,201,200,162,2
68083,201,200,162,2
68084,201,200,162,2
68085,201,200,162,2
68086,201,200,162,2
68087,201,200,162,2
68088,201,200,162,2
68089,201,200,162,2
68090,201,200,162,2
68091,201,200,162,2
68092,201,200,162,2
68093,201,200,162,2
68094,201,200,162,2
68095,201,200,162,2
68096,201,200,162,2
68097,201,200,162,2
68098,201,200,162,2
68099,201,200,162,2
68100,201,200,162,2
68101,201,200,162,2
68102,201,200,162,2
68103,201,200,162,2
68104,201,200,162,2
68105,201,200,162,2
68106,200,199,161,2
68107,200,199,161,2
68108,200,199,161,2
68109,200,199,161,2
68110,201,200,162,2
68111,201,200,162,2
68112,201,200,162,2
68113,187,157,138,2
68114,188,161,141,2
68115,199,169,150,2
68116,201,174,154,2
68117,206,176,157,2
68118,204,177,157,2
68119,200,170,151,2
68120,190,163,143,2
68121,185,155,136,2
68122,179,152,132,2
68123,167,140,119,2
68124,166,139,118,2
68125,165,138,117,2
68126,165,138,117,2
68127,166,139,118,2
68128,168,141,120,2
68129,168,141,120,2
68130,168,141,120,2
68131,154,127,106,2
68132,156,129,108,2
68133,160,133,112,2
68134,200,199,161,2
68135,200,199,161,2
68136,199,198,160,2
68137,199,198,160,2
68138,199,198,160,2
68139,199,198,160,2
68140,199,198,160,2
68141,199,198,160,2
68142,199,198,160,2
68143,199,198,160,2
68144,62,89,223,2
68145,57,84,218,2
68146,54,81,215,2
68147,56,83,217,2
68148,58,83,217,2
68149,59,84,218,2
68150,60,85,219,2
68151,57,82,216,2
68152,53,78,212,2
68153,51,76,210,2
68154,51,76,210,2
68155,53,78,212,2
68156,61,86,220,2
68157,58,83,217,2
68158,195,195,159,2
68159,195,195,159,2
68160,195,195,159,2
68161,195,195,159,2
68162,195,195,159,2
68163,195,196,157,2
68164,195,196,157,2
68165,195,196,156,2
68166,190,191,151,2
68167,200,201,161,2
68168,198,199,159,2
68169,129,131,89,2
68170,50,52,10,2
68171,55,58,13,2
68172,53,55,13,2
68173,56,57,13,2
68174,55,53,12,2
68175,57,56,12,2
68176,59,58,14,2
68177,60,59,15,2
68178,61,60,16,2
68179,64,63,19,2
68180,68,67,23,2
68181,72,72,26,2
68182,232,188,151,2
68183,231,187,150,2
68184,232,188,151,2
68185,233,188,154,2
68186,233,188,154,2
68187,98,99,49,2
68188,101,101,53,2
68189,102,103,53,2
68190,100,102,50,2
68191,104,106,54,2
68192,103,104,54,2
68193,103,104,54,2
68194,104,105,55,2
68195,93,94,44,2
68196,77,77,29,2
68197,70,70,22,2
68198,74,77,28,2
68199,74,77,28,2
68200,75,77,31,2
68201,76,78,32,2
68202,77,78,34,2
68203,78,79,35,2
68204,79,80,36,2
68205,79,80,36,2
68206,83,83,37,2
68207,83,83,37,2
68208,84,84,36,2
68209,84,84,36,2
68210,83,86,37,2
68211,84,87,38,2
68212,85,87,41,2
68213,85,87,41,2
68214,73,74,30,2
68215,65,66,22,2
68216,58,60,18,2
68217,60,62,20,2
68218,61,62,22,2
68219,60,61,22,2
68220,60,60,24,2
68221,62,63,24,2
68222,62,62,22,2
68223,62,62,22,2
68224,62,62,22,2
68225,62,62,22,2
68226,62,62,22,2
68227,62,62,22,2
68228,62,62,22,2
68229,62,62,22,2
68230,62,62,22,2
68231,62,62,22,2
68232,62,62,22,2
68233,62,62,22,2
68234,61,61,21,2
68235,60,60,20,2
68236,59,59,19,2
68237,58,58,18,2
68238,61,62,20,2
68239,61,62,20,2
68240,61,62,20,2
68241,61,62,20,2
68242,61,62,20,2
68243,61,62,20,2
68244,61,62,20,2
68245,62,63,21,2
68246,63,64,22,2
68247,62,63,21,2
68248,61,62,20,2
68249,61,62,20,2
